,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Day,other (MWh),wind (MWh),solar (MWh),hydro (MWh),petroleum products (MWh),natural gas (MWh),coal (MWh),nuclear (MWh)
44830,12178,7598,2655,19527,0,157210,0,80071
44829,12735,7943,1905,21270,20,131971,1,80114
44828,12410,23537,4012,20092,30,101101,4,80066
44827,12107,24067,3495,19514,83,121754,2,79992
44826,11882,13358,495,23122,0,180285,0,79791
44825,11835,4002,2580,20694,18,178486,0,79556
44824,11920,9279,1840,13324,1,199559,1,79831
44823,11924,4108,1260,13529,0,219492,0,79867
44822,11898,6483,2722,12268,2,149192,1,79759
44821,12003,8018,3821,7536,150,107805,0,79616
44820,11919,19716,3714,7517,8,116776,0,79576
44819,11870,23842,4107,11985,117,125522,0,79558
44818,12818,18002,3537,11622,0,164638,3,79504
44817,11292,2939,1155,11210,401,209884,2,76273
44816,12586,1082,2036,12878,685,207911,27,79540
44815,12695,2261,1845,12661,1022,173681,16,79521
44814,12485,1882,3642,13033,892,155791,4,79411
44813,12726,1428,3679,14221,975,145974,3,78914
44812,11646,1094,3727,13546,0,142139,0,79337
44811,10190,1123,2163,12833,26,161044,0,79358
44810,11163,2989,676,13595,0,169632,73,79322
44809,13247,2802,1004,13072,0,175820,32,79375
44808,13448,4507,3304,16174,16,160635,58,79485
44807,12926,3727,3973,11419,10,137439,90,79511
44806,12930,3749,4356,14510,0,125065,13,79394
44805,13065,12524,3837,12641,10,155999,20,79487
44804,13293,8612,3317,13299,157,220445,1390,79404
44803,13364,9018,3224,16515,96,249429,25,76086
44802,13801,6691,3521,17723,22,228712,36,79533
44801,14331,2437,3222,13446,0,172410,0,79373
44800,13928,2039,2899,13743,315,186575,1,79346
44799,13414,2259,2470,15748,28,218700,4,76010
44798,13788,2569,3589,17198,239,227856,1,79318
44797,12469,1996,2772,14926,80,208638,2262,76141
44796,13360,2566,2005,14803,613,212971,13,79604
44795,13753,4945,1239,13594,60,210521,22,79688
44794,13664,5416,3686,12759,29,195923,6,79664
44793,13751,3713,3562,16526,37,205057,36,79607
44792,13728,9992,3981,14357,183,195144,0,79637
44791,13490,12487,2991,12950,68,156947,52,79593
44790,12921,13030,1791,12369,9,154771,18,79675
44789,13224,3972,3765,12442,18,169822,80,79740
44788,11794,474,3903,13711,37,171241,37,79755
44787,12226,1694,3872,11692,13,135205,2,79651
44786,14007,2164,3240,10459,31,139412,44,79421
44785,13363,6274,4158,11220,22,188982,2,79582
44784,12015,1658,2814,15077,34,220882,17,79562
44783,12612,520,2565,12604,12,237643,41,79652
44782,12689,5852,2825,17090,5065,310297,4934,79621
44781,12481,5572,2934,16739,8753,313018,4940,79737
44780,12936,9159,3577,14438,736,280670,43,79685
44779,12857,4067,3808,14463,646,276775,46,79842
44778,13127,2077,3086,16008,1581,294200,2842,79821
44777,12898,7369,3987,16068,3520,286481,1188,79936
44776,12882,4512,4189,13681,1178,259327,1,79920
44775,12232,5739,3314,12755,245,250440,43,79937
44774,12323,3630,2968,9636,219,217127,50,79901
44773,12140,6568,3813,10030,67,190761,0,79806
44772,12447,13464,3790,9986,247,202096,1,79882
44771,12238,11405,3585,13738,253,242597,1,77488
44770,13913,4695,3246,15802,2936,240371,20,77684
44769,14184,4474,3897,11804,54,198299,6,79942
44768,13789,7332,3670,10284,229,216611,32,79859
44767,13767,15446,1960,14145,172,283939,32,79764
44766,14092,9737,3895,17149,7022,258470,28,79855
44765,14389,6112,4228,16650,4217,253699,132,79848
44764,13761,8574,4040,17858,7747,253176,3086,79901
44763,12991,10546,3483,19743,27501,257872,3115,79875
44762,13517,8828,3980,20816,15697,253254,3208,79810
44761,13238,18833,4140,16243,3250,242913,2622,79849
44760,13950,6702,1656,12391,80,250419,15,80019
44759,14751,4346,3811,10148,118,211026,4,80044
44758,15070,5240,3398,8431,357,192918,0,80044
44757,15417,4906,4233,9554,39,211183,1,80036
44756,14151,2728,3371,13315,54,241989,6,80114
44755,14400,5777,4331,13596,3968,242501,36,80192
44754,14647,13483,3561,12896,40,225024,45,80233
44753,14060,8501,3935,10517,18,187328,1,76780
44752,14825,4389,4641,10564,13,151182,1,80192
44751,15020,7486,4572,9903,24,164148,10,80177
44750,14276,7342,3558,12915,27,198568,9,80230
44749,14809,2440,3842,10733,1000,200453,9,80199
44748,14367,12580,3665,12644,108,210202,1,80338
44747,14206,5986,1746,10454,19,197637,0,80246
44746,13976,12192,4313,9351,25,156555,0,80277
44745,14228,9980,3826,8790,18,167490,0,80280
44744,14039,11237,2973,11838,303,207697,39,80241
44743,14516,9532,3953,15647,143,218157,49,80393
44742,14462,5962,4083,12671,207,183661,27,80237
44741,14237,4707,3973,12605,172,185695,54,80306
44740,14856,6685,4087,11945,24,168186,8,80328
44739,13974,13240,1333,12210,0,195135,5,80360
44738,15032,5481,4200,15542,578,210798,33,80355
44737,15741,3696,4253,14651,465,187210,19,80376
44736,15426,1985,3759,14657,0,163661,0,80345
44735,13676,6836,3208,11727,0,151673,6,80469
44734,12148,10258,2428,12509,52,151366,59,80323
44733,13809,2921,3842,14790,46,142065,7,80379
44732,13906,11567,4520,14542,0,114177,28,80241
